﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3rxo8KsF6AwfnbLNh7JciD","But, Honestly","Foo Fighters","Echoes, Silence, Patience & Grace","1","11","275706","spotify:user:1156541371","2014-11-18T07:29:31Z"
"spotify:track:4ICKOZfsgmgRDrsDGrzhgO","All This Dancin´ Around","Triggerfinger","All This Dancin' Around","1","1","230786","spotify:user:1156541371","2014-11-18T07:29:38Z"
"spotify:track:2rAXjtjI7WDx7Ff2hq1GNU","Perfect Match","Triggerfinger","Perfect Match - Single","1","1","190920","spotify:user:1156541371","2014-11-18T07:29:48Z"
"spotify:track:42nIqUkzDSDkTaLHIRzTnW","Streets","Kensington","Streets","1","1","187000","spotify:user:1156541371","2014-11-18T07:30:36Z"
"spotify:track:7rbCL7W893Zonbfnevku5s","I Need My Girl","The National","Trouble Will Find Me","1","10","245240","spotify:user:1156541371","2014-11-18T07:30:44Z"
"spotify:track:76aadnUFFANRNDs6L3aqxw","Through Glass","Stone Sour","Come What[ever] May","1","8","282946","spotify:user:1156541371","2014-11-18T07:31:11Z"
"spotify:track:6PQsFcAKtDqWUnOmG7bgvN","If Ever I Stray","Frank Turner","England Keep My Bones [Deluxe Edition]","1","8","173773","spotify:user:1156541371","2014-11-18T07:31:18Z"
"spotify:track:2rcvRAYHb4jmgFZIrsDAv9","To Be Alive","Brother & Bones","To Be Alive","1","1","250085","spotify:user:1156541371","2014-11-18T07:31:25Z"
"spotify:track:0eys93s2bPzkyHAG5lfCGq","Lost As One","Brother & Bones","To Be Alive","1","3","268231","spotify:user:1156541371","2014-11-18T07:31:29Z"
"spotify:track:2p0Gd0LBUpqJkUC8ISdBjL","Stolen Dance","Milky Chance","Stolen Dance","1","1","315693","spotify:user:1156541371","2014-11-18T07:31:39Z"
"spotify:track:0krcBReMOcKtRA5LSMuYzJ","Supernatural","Daughtry","Leave This Town","1","10","217973","spotify:user:1156541371","2014-11-18T07:31:45Z"
"spotify:track:63xBKQr7HJkKaSyhwEWCnE","Run - Revised Album Version","Snow Patrol","Up To Now","2","4","354613","spotify:user:1156541371","2014-11-18T07:31:51Z"
"spotify:track:26x2NAF460jfAGyOeW10oe","If There's A Rocket Tie Me To It","Snow Patrol","A Hundred Million Suns (EU Version)","1","1","259480","spotify:user:1156541371","2014-11-18T07:31:59Z"
"spotify:track:7mXmxXLAnsvXKt4Q37KoMI","Over You","Daughtry","Daughtry","1","4","204660","spotify:user:1156541371","2014-11-18T07:32:09Z"
"spotify:track:7BHPGtpuuWWsvE7cCaMuEU","Naive","The Kooks","Inside In / Inside Out","1","9","203506","spotify:user:1156541371","2014-11-18T07:32:19Z"
"spotify:track:0RchWnEHETINMAyrTrlBmo","Bleeding Out","Imagine Dragons","Night Visions (Deluxe)","1","9","221053","spotify:user:1156541371","2014-11-18T07:32:23Z"
"spotify:track:2Oehrcv4Kov0SuIgWyQY9e","Demons","Imagine Dragons","Night Visions (Deluxe)","1","4","175200","spotify:user:1156541371","2014-11-18T07:32:28Z"
"spotify:track:05ZACkzW8YbRq3eFgIfSNB","Springsteen","Eric Church","Chief","1","9","263386","spotify:user:1156541371","2014-11-18T07:32:35Z"
"spotify:track:4t6TpdXtVh5pmwU6qHvSh3",""45"","The Gaslight Anthem","Handwritten (Special Edition)","1","1","207546","spotify:user:1156541371","2014-11-18T07:32:40Z"
"spotify:track:6S8SFLXVKfC8MGMmFwICnv","Ghosts","Kensington","Vultures","1","8","208800","spotify:user:1156541371","2014-11-18T07:32:50Z"
"spotify:track:6GMtJmuXLrCTwzSxU9UpGL","57","Biffy Clyro","Singles 2001-2005","1","3","203093","spotify:user:1156541371","2014-11-18T07:32:58Z"
"spotify:track:0c4IEciLCDdXEhhKxj4ThA","Madness","Muse","The 2nd Law","1","2","281040","spotify:user:1156541371","2014-11-18T07:33:04Z"
"spotify:track:630CQp2prewTfH1UAvMgCA","Big Freeze","Muse","The 2nd Law","1","9","279906","spotify:user:1156541371","2014-11-18T07:33:19Z"
